TypeAchat,Sexe,ClasseAge,Formation,Annee,NbrPersonnes
Achat en ligne au moins une fois dans sa vie,Femme,60+,Sans formation post-obligatoire (25+),2017,67690
Achat en ligne au moins une fois dans sa vie,Femme,60+,Niveau secondaire (25+),2017,225013
Achat en ligne au moins une fois dans sa vie,Femme,60+,Niveau tertiaire (25+),2017,89794
Achat en ligne au moins une fois dans sa vie,Femme,60+,-25ans,2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Total,Total,Total,2017,1189565
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Total,Total,Sans formation post-obligatoire (25+),2017,93681
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Total,Total,Niveau secondaire (25+),2017,491871
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Total,Total,Niveau tertiaire (25+),2017,503641
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Total,Total,-25ans,2017,100371
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Total,15-29,Total,2017,212453
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Total,15-29,Sans formation post-obligatoire (25+),2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Total,15-29,Niveau secondaire (25+),2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Total,15-29,Niveau tertiaire (25+),2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Total,15-29,-25ans,2017,100371
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Total,30-59,Total,2017,840114
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Total,30-59,Sans formation post-obligatoire (25+),2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Total,30-59,Niveau secondaire (25+),2017,351224
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Total,30-59,Niveau tertiaire (25+),2017,419529
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Total,30-59,-25ans,2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Total,60+,Total,2017,136998
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Total,60+,Sans formation post-obligatoire (25+),2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Total,60+,Niveau secondaire (25+),2017,86126
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Total,60+,Niveau tertiaire (25+),2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Total,60+,-25ans,2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Homme,Total,Total,2017,568486
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Homme,Total,Sans formation post-obligatoire (25+),2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Homme,Total,Niveau secondaire (25+),2017,190578
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Homme,Total,Niveau tertiaire (25+),2017,285962
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Homme,Total,-25ans,2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Homme,15-29,Total,2017,94980
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Homme,15-29,Sans formation post-obligatoire (25+),2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Homme,15-29,Niveau secondaire (25+),2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Homme,15-29,Niveau tertiaire (25+),2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Homme,15-29,-25ans,2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Homme,30-59,Total,2017,412925
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Homme,30-59,Sans formation post-obligatoire (25+),2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Homme,30-59,Niveau secondaire (25+),2017,129772
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Homme,30-59,Niveau tertiaire (25+),2017,251632
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Homme,30-59,-25ans,2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Homme,60+,Total,2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Homme,60+,Sans formation post-obligatoire (25+),2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Homme,60+,Niveau secondaire (25+),2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Homme,60+,Niveau tertiaire (25+),2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Homme,60+,-25ans,2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Femme,Total,Total,2017,621079
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Femme,Total,Sans formation post-obligatoire (25+),2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Femme,Total,Niveau secondaire (25+),2017,301294
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Femme,Total,Niveau tertiaire (25+),2017,217679
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Femme,Total,-25ans,2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Femme,15-29,Total,2017,117473
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Femme,15-29,Sans formation post-obligatoire (25+),2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Femme,15-29,Niveau secondaire (25+),2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Femme,15-29,Niveau tertiaire (25+),2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Femme,15-29,-25ans,2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Femme,30-59,Total,2017,427189
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Femme,30-59,Sans formation post-obligatoire (25+),2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Femme,30-59,Niveau secondaire (25+),2017,221451
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Femme,30-59,Niveau tertiaire (25+),2017,167897
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Femme,30-59,-25ans,2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Femme,60+,Total,2017,76418
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Femme,60+,Sans formation post-obligatoire (25+),2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Femme,60+,Niveau secondaire (25+),2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Femme,60+,Niveau tertiaire (25+),2017,NA
"Achat de produits alimentaires, boissons, fleurs, parfums (au cours des 12 derniers mois)",Femme,60+,-25ans,2017,NA
Achat de films ou musique (au cours des 12 derniers mois),Total,Total,Total,2017,1992400
Achat de films ou musique (au cours des 12 derniers mois),Total,Total,Sans formation post-obligatoire (25+),2017,124550
Achat de films ou musique (au cours des 12 derniers mois),Total,Total,Niveau secondaire (25+),2017,668318
Achat de films ou musique (au cours des 12 derniers mois),Total,Total,Niveau tertiaire (25+),2017,856986
Achat de films ou musique (au cours des 12 derniers mois),Total,Total,-25ans,2017,342546
Achat de films ou musique (au cours des 12 derniers mois),Total,15-29,Total,2017,602144
Achat de films ou musique (au cours des 12 derniers mois),Total,15-29,Sans formation post-obligatoire (25+),2017,NA
Achat de films ou musique (au cours des 12 derniers mois),Total,15-29,Niveau secondaire (25+),2017,111135
Achat de films ou musique (au cours des 12 derniers mois),Total,15-29,Niveau tertiaire (25+),2017,136144
Achat de films ou musique (au cours des 12 derniers mois),Total,15-29,-25ans,2017,342546
Achat de films ou musique (au cours des 12 derniers mois),Total,30-59,Total,2017,1239739
Achat de films ou musique (au cours des 12 derniers mois),Total,30-59,Sans formation post-obligatoire (25+),2017,86630
Achat de films ou musique (au cours des 12 derniers mois),Total,30-59,Niveau secondaire (25+),2017,502770
Achat de films ou musique (au cours des 12 derniers mois),Total,30-59,Niveau tertiaire (25+),2017,650339
Achat de films ou musique (au cours des 12 derniers mois),Total,30-59,-25ans,2017,NA
Achat de films ou musique (au cours des 12 derniers mois),Total,60+,Total,2017,150517
Achat de films ou musique (au cours des 12 derniers mois),Total,60+,Sans formation post-obligatoire (25+),2017,NA
Achat de films ou musique (au cours des 12 derniers mois),Total,60+,Niveau secondaire (25+),2017,NA
Achat de films ou musique (au cours des 12 derniers mois),Total,60+,Niveau tertiaire (25+),2017,70502
Achat de films ou musique (au cours des 12 derniers mois),Total,60+,-25ans,2017,NA
Achat de films ou musique (au cours des 12 derniers mois),Homme,Total,Total,2017,1091174
Achat de films ou musique (au cours des 12 derniers mois),Homme,Total,Sans formation post-obligatoire (25+),2017,NA
Achat de films ou musique (au cours des 12 derniers mois),Homme,Total,Niveau secondaire (25+),2017,308258
Achat de films ou musique (au cours des 12 derniers mois),Homme,Total,Niveau tertiaire (25+),2017,512373
Achat de films ou musique (au cours des 12 derniers mois),Homme,Total,-25ans,2017,205778
Achat de films ou musique (au cours des 12 derniers mois),Homme,15-29,Total,2017,320554
Achat de films ou musique (au cours des 12 derniers mois),Homme,15-29,Sans formation post-obligatoire (25+),2017,NA
Achat de films ou musique (au cours des 12 derniers mois),Homme,15-29,Niveau secondaire (25+),2017,NA
Achat de films ou musique (au cours des 12 derniers mois),Homme,15-29,Niveau tertiaire (25+),2017,NA
Achat de films ou musique (au cours des 12 derniers mois),Homme,15-29,-25ans,2017,205778
Achat de films ou musique (au cours des 12 derniers mois),Homme,30-59,Total,2017,685483
Achat de films ou musique (au cours des 12 derniers mois),Homme,30-59,Sans formation post-obligatoire (25+),2017,NA
Achat de films ou musique (au cours des 12 derniers mois),Homme,30-59,Niveau secondaire (25+),2017,239719
Achat de films ou musique (au cours des 12 derniers mois),Homme,30-59,Niveau tertiaire (25+),2017,395378
Achat de films ou musique (au cours des 12 derniers mois),Homme,30-59,-25ans,2017,NA
Achat de films ou musique (au cours des 12 derniers mois),Homme,60+,Total,2017,85137
Achat de films ou musique (au cours des 12 derniers mois),Homme,60+,Sans formation post-obligatoire (25+),2017,NA
Achat de films ou musique (au cours des 12 derniers mois),Homme,60+,Niveau secondaire (25+),2017,NA
Achat de films ou musique (au cours des 12 derniers mois),Homme,60+,Niveau tertiaire (25+),2017,NA
Achat de films ou musique (au cours des 12 derniers mois),Homme,60+,-25ans,2017,NA
Achat de films ou musique (au cours des 12 derniers mois),Femme,Total,Total,2017,901226
Achat de films ou musique (au cours des 12 derniers mois),Femme,Total,Sans formation post-obligatoire (25+),2017,59785
Achat de films ou musique (au cours des 12 derniers mois),Femme,Total,Niveau secondaire (25+),2017,360060
Achat de films ou musique (au cours des 12 derniers mois),Femme,Total,Niveau tertiaire (25+),2017,344612
Achat de films ou musique (au cours des 12 derniers mois),Femme,Total,-25ans,2017,136768
Achat de films ou musique (au cours des 12 derniers mois),Femme,15-29,Total,2017,281589
Achat de films ou musique (au cours des 12 derniers mois),Femme,15-29,Sans formation post-obligatoire (25+),2017,NA
Achat de films ou musique (au cours des 12 derniers mois),Femme,15-29,Niveau secondaire (25+),2017,NA
Achat de films ou musique (au cours des 12 derniers mois),Femme,15-29,Niveau tertiaire (25+),2017,NA
Achat de films ou musique (au cours des 12 derniers mois),Femme,15-29,-25ans,2017,136768
